#bioname	bioname_parent	base	acid	base_parent	acid_parent	inconsistency	null	null	base_n	acid_n	base_parent_n	acid_parent_n	type_n
(5R)-5-phosphooxy-L-lysine	a carboxylate	CHEBI:57882	CHEBI:16752	CHEBI:29067	CHEBI:33575	left_incomplete	$null$	$null$	erythro-5-phosphonatoooxy-L-lysinium(1-)	erythro-5-phosphonooxy-L-lysine	carboxylic acid anion	carboxylic acid	$null$
(7S,17S)-dihydroxy-(4Z,8E,10Z,13Z,15E,19Z)-docosahexaenoate	a long-chain fatty acid	CHEBI:140352	CHEBI:138645	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	resolvin D5(1-)	resolvin D5	long-chain fatty acid anion	long-chain fatty acid	$null$
10-hydroxyoctadecanoate	a long-chain fatty acid	CHEBI:143089	CHEBI:143095	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	10-hydroxyoctadecanoate	10-hydroxyoctadecanoic acid	long-chain fatty acid anion	long-chain fatty acid	$null$
2,3-dihydroxybenzoate	an aromatic carboxylate	CHEBI:36654	CHEBI:18026	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	2,3-dihydroxybenzoate	2,3-dihydroxybenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
benzoate	an aromatic carboxylate	CHEBI:16150	CHEBI:30746	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	benzoate	benzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
4-hydroxybenzoate	an aromatic carboxylate	CHEBI:17879	CHEBI:30763	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	4-hydroxybenzoate	4-hydroxybenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
2-oxododecanoate	a 2-oxocarboxylate	CHEBI:142579	CHEBI:142578	CHEBI:35179	CHEBI:35910	left_incomplete	$null$	$null$	2-oxododecanoate	2-oxododecanoic acid	2-oxo monocarboxylic acid anion	2-oxo monocarboxylic acid	$null$
2-oxododecanoate	a medium chain fatty acid	CHEBI:142579	CHEBI:142578	CHEBI:59558	CHEBI:59554	left_incomplete	$null$	$null$	2-oxododecanoate	2-oxododecanoic acid	medium-chain fatty acid anion	medium-chain fatty acid	$null$
(8S)-hydroxy-(11S,12S)-epoxy-(5Z,9E,14Z)-eicosatrienoate	a hydroxy polyunsaturated fatty acid	CHEBI:132129	CHEBI:132809	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	(8S)-hepoxilin A3(1-)	(8S)-hepoxilin A3	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
beta-D-glucosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate	a polyprenol phosphate	CHEBI:132174	CHEBI:132876	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	beta-D-glucosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl undecaprenyl diphosphate(2-)	beta-D-glucosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl undecaprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
4-O-[(2R)-glycerylphospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl di-trans,octa-cis-undecaprenyl diphosphate	a polyprenol phosphate	CHEBI:132211	CHEBI:132877	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	4-O-[(2R)-1-glycerylphosphonato]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl undecaprenyl diphosphate(3-)	4-O-[(2R)-1-glycerylphosphono]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl undecaprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol	a polyprenol phosphate	CHEBI:132511	CHEBI:133912	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)(2-)	alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)	polyprenol phosphate anion	polyprenol phosphate	$null$
alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol	a polyprenol phosphate	CHEBI:132515	CHEBI:133994	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)(2-)	alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)	polyprenol phosphate anion	polyprenol phosphate	$null$
alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol	a polyprenol phosphate	CHEBI:132516	CHEBI:133998	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)(2-)	alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)	polyprenol phosphate anion	polyprenol phosphate	$null$
alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol	a polyprenol phosphate	CHEBI:132517	CHEBI:133999	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)(2-)	alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc(PP-Dol)	polyprenol phosphate anion	polyprenol phosphate	$null$
all-trans-undecaprenyl diphosphate	a polyprenol phosphate	CHEBI:57995	CHEBI:17047	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	all-trans-undecaprenyl diphosphate(3-)	all-trans-undecaprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
L-2-acetamido-6-oxoheptanedioate	oxo dicarboxylic acid	CHEBI:58117	CHEBI:17355	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	(S)-2-acetamido-6-oxopimelate(2-)	(S)-2-acetamido-6-oxopimelic acid	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
dTDP	a 2'-deoxyribonucleoside 5'-diphosphate	CHEBI:58369	CHEBI:18075	CHEBI:73316	CHEBI:16350	left_incomplete	$null$	$null$	dTDP(3-)	dTDP	2'-deoxyribonucleoside 5'-diphosphate(3-)	2'-deoxyribonucleoside 5'-diphosphate	$null$
dTDP	a ribonucleoside 5'-diphosphate	CHEBI:58369	CHEBI:18075	CHEBI:57930	CHEBI:16862	left_incomplete	$null$	$null$	dTDP(3-)	dTDP	nucleoside 5'-diphosphate(3-)	nucleoside diphosphate	$null$
12-oxo-leukotriene B4	a monocarboxylate	CHEBI:133309	CHEBI:27814	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	12-dehydro-leukotriene B4(1-)	12-dehydro-leukotriene B4	monocarboxylic acid anion	monocarboxylic acid	$null$
12-oxo-leukotriene B4	a fatty acid	CHEBI:133309	CHEBI:27814	CHEBI:28868	CHEBI:35366	left_incomplete	$null$	$null$	12-dehydro-leukotriene B4(1-)	12-dehydro-leukotriene B4	fatty acid anion	fatty acid	$null$
12-oxo-leukotriene B4	a long-chain fatty acid	CHEBI:133309	CHEBI:27814	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	12-dehydro-leukotriene B4(1-)	12-dehydro-leukotriene B4	long-chain fatty acid anion	long-chain fatty acid	$null$
3-acetylamino-4-hydroxybenzoate	an aromatic carboxylate	CHEBI:140533	CHEBI:140603	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3-acetamido-4-hydroxybenzoate	3-acetamido-4-hydroxybenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
5-pyridoxate	an aromatic carboxylate	CHEBI:30960	CHEBI:16409	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	5-pyridoxate	5-pyridoxic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
kynurenate	an aromatic carboxylate	CHEBI:58454	CHEBI:18344	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	kynurenate	kynurenic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
12-oxo-leukotriene B4	a hydroxy polyunsaturated fatty acid	CHEBI:133309	CHEBI:27814	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	12-dehydro-leukotriene B4(1-)	12-dehydro-leukotriene B4	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
