class	name	inchi	left	right	agnostic	agnostic_inchi	left_inchi	right_inchi
http://purl.obolibrary.org/obo/CHEBI_152048	2-fluoro-DL-phenylalanine							
http://purl.obolibrary.org/obo/CHEBI_17799	2-methyl-DL-serine							
http://purl.obolibrary.org/obo/CHEBI_131496	BW 245C							
http://purl.obolibrary.org/obo/CHEBI_131513	tranylcypromine hydrochloride							
http://purl.obolibrary.org/obo/CHEBI_131721	sulfamazone		http://purl.obolibrary.org/obo/CHEBI_131765	http://purl.obolibrary.org/obo/CHEBI_131764	http://purl.obolibrary.org/obo/CHEBI_131763	InChI=1S/C23H24N6O7S2/c1-15-21(23(30)29(28(15)2)17-7-5-4-6-8-17)22(38(33,34)35)24-16-9-11-18(12-10-16)37(31,32)27-19-13-14-20(36-3)26-25-19/h4-14,22,24H,1-3H3,(H,25,27)(H,33,34,35)	InChI=1S/C23H24N6O7S2/c1-15-21(23(30)29(28(15)2)17-7-5-4-6-8-17)22(38(33,34)35)24-16-9-11-18(12-10-16)37(31,32)27-19-13-14-20(36-3)26-25-19/h4-14,22,24H,1-3H3,(H,25,27)(H,33,34,35)/t22-/m0/s1	InChI=1S/C23H24N6O7S2/c1-15-21(23(30)29(28(15)2)17-7-5-4-6-8-17)22(38(33,34)35)24-16-9-11-18(12-10-16)37(31,32)27-19-13-14-20(36-3)26-25-19/h4-14,22,24H,1-3H3,(H,25,27)(H,33,34,35)/t22-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_131724	iclaprim		http://purl.obolibrary.org/obo/CHEBI_131753	http://purl.obolibrary.org/obo/CHEBI_131752	http://purl.obolibrary.org/obo/CHEBI_131751	InChI=1S/C19H22N4O3/c1-24-15-8-11(7-12-9-22-19(21)23-18(12)20)13-5-6-14(10-3-4-10)26-16(13)17(15)25-2/h5-6,8-10,14H,3-4,7H2,1-2H3,(H4,20,21,22,23)	InChI=1S/C19H22N4O3/c1-24-15-8-11(7-12-9-22-19(21)23-18(12)20)13-5-6-14(10-3-4-10)26-16(13)17(15)25-2/h5-6,8-10,14H,3-4,7H2,1-2H3,(H4,20,21,22,23)/t14-/m1/s1	InChI=1S/C19H22N4O3/c1-24-15-8-11(7-12-9-22-19(21)23-18(12)20)13-5-6-14(10-3-4-10)26-16(13)17(15)25-2/h5-6,8-10,14H,3-4,7H2,1-2H3,(H4,20,21,22,23)/t14-/m0/s1
http://purl.obolibrary.org/obo/CHEBI_131793	SKF 38393		http://purl.obolibrary.org/obo/CHEBI_131796	http://purl.obolibrary.org/obo/CHEBI_131800	http://purl.obolibrary.org/obo/CHEBI_131801	InChI=1S/C16H17NO2/c18-15-8-12-6-7-17-10-14(13(12)9-16(15)19)11-4-2-1-3-5-11/h1-5,8-9,14,17-19H,6-7,10H2	InChI=1S/C16H17NO2/c18-15-8-12-6-7-17-10-14(13(12)9-16(15)19)11-4-2-1-3-5-11/h1-5,8-9,14,17-19H,6-7,10H2/t14-/m0/s1	InChI=1S/C16H17NO2/c18-15-8-12-6-7-17-10-14(13(12)9-16(15)19)11-4-2-1-3-5-11/h1-5,8-9,14,17-19H,6-7,10H2/t14-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_131802	SKF 38393 hydrobromide							
http://purl.obolibrary.org/obo/CHEBI_131848	fotemustine		http://purl.obolibrary.org/obo/CHEBI_131854	http://purl.obolibrary.org/obo/CHEBI_131853	http://purl.obolibrary.org/obo/CHEBI_131852	InChI=1S/C9H19ClN3O5P/c1-4-17-19(16,18-5-2)8(3)11-9(14)13(12-15)7-6-10/h8H,4-7H2,1-3H3,(H,11,14)	InChI=1S/C9H19ClN3O5P/c1-4-17-19(16,18-5-2)8(3)11-9(14)13(12-15)7-6-10/h8H,4-7H2,1-3H3,(H,11,14)/t8-/m0/s1	InChI=1S/C9H19ClN3O5P/c1-4-17-19(16,18-5-2)8(3)11-9(14)13(12-15)7-6-10/h8H,4-7H2,1-3H3,(H,11,14)/t8-/m1/s1
http://purl.obolibrary.org/obo/CHEBI_132050	norverapamil		http://purl.obolibrary.org/obo/CHEBI_134081	http://purl.obolibrary.org/obo/CHEBI_134082	http://purl.obolibrary.org/obo/CHEBI_134080	InChI=1S/C26H36N2O4/c1-19(2)26(18-27,21-9-11-23(30-4)25(17-21)32-6)13-7-14-28-15-12-20-8-10-22(29-3)24(16-20)31-5/h8-11,16-17,19,28H,7,12-15H2,1-6H3	InChI=1S/C26H36N2O4/c1-19(2)26(18-27,21-9-11-23(30-4)25(17-21)32-6)13-7-14-28-15-12-20-8-10-22(29-3)24(16-20)31-5/h8-11,16-17,19,28H,7,12-15H2,1-6H3/t26-/m0/s1	InChI=1S/C26H36N2O4/c1-19(2)26(18-27,21-9-11-23(30-4)25(17-21)32-6)13-7-14-28-15-12-20-8-10-22(29-3)24(16-20)31-5/h8-11,16-17,19,28H,7,12-15H2,1-6H3/t26-/m1/s1
