#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: https://w3id.org/chemrof
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2022-09-06
#curie_map: 
# chemrof: https://w3id.org/chemrof/
# COB: http://purl.obolibrary.org/obo/COB_
# BFO: http://purl.obolibrary.org/obo/BFO_
# RO: http://purl.obolibrary.org/obo/RO_
# CHEBI: http://purl.obolibrary.org/obo/CHEBI_
# CHEMINF: http://semanticscience.org/resource/CHEMINF_
# RXNO: http://purl.obolibrary.org/obo/RXNO_
# MOP: http://purl.obolibrary.org/obo/MOP_
# REX: http://purl.obolibrary.org/obo/REX_
# FIX: http://purl.obolibrary.org/obo/FIX_
# SIO: http://semanticscience.org/resource/SIO_
# PUBCHEM.ELEMENT: https://pubchem.ncbi.nlm.nih.gov/element/
# LANL.ELEMENT: https://periodic.lanl.gov/
# bioptop: http://purl.org/biotop/biotop.owl#
# schema: http://schema.org/
# dcterms: http://purl.org/dc/terms/
# biolink: https://w3id.org/biolink/
# linkml: https://w3id.org/linkml/
# goldbook: https://goldbook.iupac.org/terms/view/
# Wikipedia: https://en.wikipedia.org/wiki/
# biotop: http://purl.org/biotop/biotop.owl#
# skos: http://www.w3.org/2004/02/skos/core#
# wd: http://www.wikidata.org/entity/
# wdeschema: https://www.wikidata.org/wiki/Special:EntitySchemaText/
# cml: http://www.xml-cml.org/schema/
# bo: http://www.blueobelisk.org/dict/terminology
# gc: http://purl.org/gc/
# damlpt: http://www.daml.org/2003/01/periodictable/PeriodicTable#
# OntoRxn: http://www.semanticweb.com/OntoRxn#
# MetaCyc: http://identifiers.org/MetaCyc/
# UniProtKB: http://identifiers.org/uniprot/
# REACT: http://identifiers.org/reactome/
# EC: https://enzyme.expasy.org/EC/
# NCIT: http://purl.obolibrary.org/obo/NCIT_
# glycosciencesdb: https://bioregistry.io/glycosciencesdb:
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
chemrof:bond_type_enum#covalent	covalent	skos:exactMatch		gc:NormalBond		skos:exactMatch	https://w3id.org/chemrof						bond_type_enum			
chemrof:bond_type_enum#aromatic	aromatic	skos:exactMatch		gc:AromaticBond		skos:exactMatch	https://w3id.org/chemrof						bond_type_enum			
chemrof:bond_type_enum#single	single	skos:exactMatch		gc:Single		skos:exactMatch	https://w3id.org/chemrof						bond_type_enum			
chemrof:bond_type_enum#double	double	skos:exactMatch		gc:Double		skos:exactMatch	https://w3id.org/chemrof						bond_type_enum			
chemrof:bond_type_enum#triple	triple	skos:exactMatch		gc:Triple		skos:exactMatch	https://w3id.org/chemrof						bond_type_enum			
chemrof:bond_type_enum#quadruple	quadruple	skos:exactMatch		gc:Quadruple		skos:exactMatch	https://w3id.org/chemrof						bond_type_enum			
chemrof:bond_type_enum#hydrogen	hydrogen	skos:exactMatch		gc:HydrogenBond		skos:exactMatch	https://w3id.org/chemrof						bond_type_enum			
chemrof:element_metallic_classification#Metallic	Metallic	skos:exactMatch		damlpt:Metallic		skos:exactMatch	https://w3id.org/chemrof						element_metallic_classification			
chemrof:element_metallic_classification#Non-Metallic	Non-Metallic	skos:exactMatch		damlpt:Non-Metallic		skos:exactMatch	https://w3id.org/chemrof						element_metallic_classification			
chemrof:element_metallic_classification#Semi-Metallic	Semi-Metallic	skos:exactMatch		damlpt:Semi-Metallic		skos:exactMatch	https://w3id.org/chemrof						element_metallic_classification			
chemrof:nanostructure_morphology_enum#nanotube	nanotube	skos:exactMatch		CHEBI:50796		skos:exactMatch	https://w3id.org/chemrof						nanostructure_morphology_enum			
chemrof:nanostructure_morphology_enum#nanoparticle	nanoparticle	skos:exactMatch		CHEBI:50803		skos:exactMatch	https://w3id.org/chemrof						nanostructure_morphology_enum			
chemrof:nanostructure_morphology_enum#nanorod	nanorod	skos:exactMatch		CHEBI:50805		skos:exactMatch	https://w3id.org/chemrof						nanostructure_morphology_enum			
chemrof:nanostructure_morphology_enum#nanotubosome	nanotubosome	skos:exactMatch		CHEBI:50806		skos:exactMatch	https://w3id.org/chemrof						nanostructure_morphology_enum			
chemrof:nanostructure_morphology_enum#quantumdot	quantumdot	skos:exactMatch		CHEBI:50853		skos:exactMatch	https://w3id.org/chemrof						nanostructure_morphology_enum			
chemrof:nanostructure_morphology_enum#nanofibre	nanofibre	skos:exactMatch		CHEBI:52518		skos:exactMatch	https://w3id.org/chemrof						nanostructure_morphology_enum			
chemrof:nanostructure_morphology_enum#nanocrystal	nanocrystal	skos:exactMatch		CHEBI:52529		skos:exactMatch	https://w3id.org/chemrof						nanostructure_morphology_enum			
chemrof:nanostructure_morphology_enum#nanoribbon	nanoribbon	skos:exactMatch		CHEBI:52530		skos:exactMatch	https://w3id.org/chemrof						nanostructure_morphology_enum			
chemrof:nanostructure_morphology_enum#nanosheet	nanosheet	skos:exactMatch		CHEBI:52531		skos:exactMatch	https://w3id.org/chemrof						nanostructure_morphology_enum			
chemrof:nanostructure_morphology_enum#nanowire	nanowire	skos:exactMatch		CHEBI:52593		skos:exactMatch	https://w3id.org/chemrof						nanostructure_morphology_enum			
chemrof:periodic_table_block_enum#s-block	s-block	skos:exactMatch		CHEBI:33674		skos:exactMatch	https://w3id.org/chemrof						periodic_table_block_enum			
chemrof:periodic_table_block_enum#p-block	p-block	skos:exactMatch		CHEBI:33675		skos:exactMatch	https://w3id.org/chemrof						periodic_table_block_enum			
chemrof:periodic_table_block_enum#d-block	d-block	skos:exactMatch		CHEBI:33561		skos:exactMatch	https://w3id.org/chemrof						periodic_table_block_enum			
chemrof:periodic_table_block_enum#f-block	f-block	skos:exactMatch		CHEBI:33562		skos:exactMatch	https://w3id.org/chemrof						periodic_table_block_enum			
chemrof:subatomic_particle_type#proton	proton	skos:exactMatch		CHEBI:24636		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#alphaparticle	alphaparticle	skos:exactMatch		CHEBI:30216		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#tauneutrino	tauneutrino	skos:exactMatch		CHEBI:36354		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#positron	positron	skos:exactMatch		CHEBI:30225		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#muon	muon	skos:exactMatch		CHEBI:36356		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#hyperon	hyperon	skos:exactMatch		CHEBI:36365		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#boson	boson	skos:exactMatch		CHEBI:36341		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#fermion	fermion	skos:exactMatch		CHEBI:36340		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#baryon	baryon	skos:exactMatch		CHEBI:36339		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#topquark	topquark	skos:exactMatch		CHEBI:36371		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#hydron	hydron	skos:exactMatch		CHEBI:15378		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#muonneutrino	muonneutrino	skos:exactMatch		CHEBI:36353		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#nuclearparticle	nuclearparticle	skos:exactMatch		CHEBI:36347		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#piminusmeson	piminusmeson	skos:exactMatch		CHEBI:36350		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#pimeson	pimeson	skos:exactMatch		CHEBI:36348		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#nucleon	nucleon	skos:exactMatch		CHEBI:33253		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#triton	triton	skos:exactMatch		CHEBI:29234		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#deuteron	deuteron	skos:exactMatch		CHEBI:29233		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#neutrino	neutrino	skos:exactMatch		CHEBI:36352		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#meson	meson	skos:exactMatch		CHEBI:36345		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#quark	quark	skos:exactMatch		CHEBI:36346		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#Higgsboson	Higgsboson	skos:exactMatch		CHEBI:146278		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#fundamentalparticle	fundamentalparticle	skos:exactMatch		CHEBI:33233		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#electronneutrino	electronneutrino	skos:exactMatch		CHEBI:30223		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#subatomicparticle	subatomicparticle	skos:exactMatch		CHEBI:36342		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#taulepton	taulepton	skos:exactMatch		CHEBI:36355		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#photon	photon	skos:exactMatch		CHEBI:30212		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#upquark	upquark	skos:exactMatch		CHEBI:36366		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#antimuon	antimuon	skos:exactMatch		CHEBI:30214		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#strangequark	strangequark	skos:exactMatch		CHEBI:36368		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#Deltabaryon	Deltabaryon	skos:exactMatch		CHEBI:36375		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#pizeromeson	pizeromeson	skos:exactMatch		CHEBI:36351		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#hadron	hadron	skos:exactMatch		CHEBI:36344		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#bottomquark	bottomquark	skos:exactMatch		CHEBI:36370		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
chemrof:subatomic_particle_type#compositeparticle	compositeparticle	skos:exactMatch		CHEBI:36343		skos:exactMatch	https://w3id.org/chemrof						subatomic_particle_type			
